team,match_date,comp,stage,HAN,vs,gd,xgd,attendance
Liverpool,12/9/2023,Premier League,Matchweek 16,A,Crystal Palace,1,-0.5,25103
Newcastle Utd,12/10/2023,Premier League,Matchweek 16,A,Tottenham,-3,-2.1,61171
Tottenham,12/10/2023,Premier League,Matchweek 16,H,Newcastle Utd,3,2.1,61171
Chelsea,12/10/2023,Premier League,Matchweek 16,A,Everton,-2,-0.3,39280
Everton,12/10/2023,Premier League,Matchweek 16,H,Chelsea,2,0.3,39280
Fulham,12/10/2023,Premier League,Matchweek 16,H,West Ham,5,1,23988
West Ham,12/10/2023,Premier League,Matchweek 16,A,Fulham,-5,-1,23988
Luton Town,12/10/2023,Premier League,Matchweek 16,H,Manchester City,-1,-1.3,11047
Manchester City,12/10/2023,Premier League,Matchweek 16,A,Luton Town,1,1.3,11047
Manchester Utd,12/12/2023,Champions Lg,Group stage,H,Bayern Munich,-1,-0.9,73073
Arsenal,12/12/2023,Champions Lg,Group stage,A,PSV Eindhoven,0,-0.3,35000
Newcastle Utd,12/13/2023,Champions Lg,Group stage,H,Milan,-1,-0.1,52037
Manchester City,12/13/2023,Champions Lg,Group stage,A,Red Star,1,0.3,49443
West Ham,12/14/2023,Europa Lg,Group stage,H,Freiburg,2,1.2,48876
Brighton,12/14/2023,Europa Lg,Group stage,H,Marseille,1,0.8,30214
Liverpool,12/14/2023,Europa Lg,Group stage,A,Union SG,-1,-2,16959
Aston Villa,12/14/2023,Conf Lg,Group stage,A,Zrinjski Mostar,0,-0.1,6610
Nott'ham Forest,12/15/2023,Premier League,Matchweek 17,H,Tottenham,-2,-0.2,29296
Tottenham,12/15/2023,Premier League,Matchweek 17,A,Nott'ham Forest,2,0.2,29296
Crystal Palace,12/16/2023,Premier League,Matchweek 17,A,Manchester City,0,0.2,53248
Manchester City,12/16/2023,Premier League,Matchweek 17,H,Crystal Palace,0,-0.2,53248
Fulham,12/16/2023,Premier League,Matchweek 17,A,Newcastle Utd,-3,-3.2,52055
Newcastle Utd,12/16/2023,Premier League,Matchweek 17,H,Fulham,3,3.2,52055
Chelsea,12/16/2023,Premier League,Matchweek 17,H,Sheffield Utd,2,2.7,39599
Sheffield Utd,12/16/2023,Premier League,Matchweek 17,A,Chelsea,-2,-2.7,39599
Burnley,12/16/2023,Premier League,Matchweek 17,H,Everton,-2,-0.7,21413
Everton,12/16/2023,Premier League,Matchweek 17,A,Burnley,2,0.7,21413
West Ham,12/17/2023,Premier League,Matchweek 17,H,Wolves,3,0.4,62455
Wolves,12/17/2023,Premier League,Matchweek 17,A,West Ham,-3,-0.4,62455
Arsenal,12/17/2023,Premier League,Matchweek 17,H,Brighton,2,1.6,60257
Brighton,12/17/2023,Premier League,Matchweek 17,A,Arsenal,-2,-1.6,60257
Liverpool,12/17/2023,Premier League,Matchweek 17,H,Manchester Utd,0,1.5,57158
Manchester Utd,12/17/2023,Premier League,Matchweek 17,A,Liverpool,0,-1.5,57158
Aston Villa,12/17/2023,Premier League,Matchweek 17,A,Brentford,1,0.9,17034
Brentford,12/17/2023,Premier League,Matchweek 17,H,Aston Villa,-1,-0.9,17034
Everton,12/19/2023,EFL Cup,Quarter-finals,H,Fulham,0,0,38715
Fulham,12/19/2023,EFL Cup,Quarter-finals,A,Everton,0,0,38715
Chelsea,12/19/2023,EFL Cup,Quarter-finals,H,Newcastle Utd,0,0,38058
Newcastle Utd,12/19/2023,EFL Cup,Quarter-finals,A,Chelsea,0,0,38058
Liverpool,12/20/2023,EFL Cup,Quarter-finals,H,West Ham,4,0,57332
West Ham,12/20/2023,EFL Cup,Quarter-finals,A,Liverpool,-4,0,57332
Brighton,12/21/2023,Premier League,Matchweek 18,A,Crystal Palace,0,-0.1,24171
Crystal Palace,12/21/2023,Premier League,Matchweek 18,H,Brighton,0,0.1,24171
Aston Villa,12/22/2023,Premier League,Matchweek 18,H,Sheffield Utd,0,0.3,41651
Sheffield Utd,12/22/2023,Premier League,Matchweek 18,A,Aston Villa,0,-0.3,41651
Manchester Utd,12/23/2023,Premier League,Matchweek 18,A,West Ham,-2,-0.2,64472
West Ham,12/23/2023,Premier League,Matchweek 18,H,Manchester Utd,2,0.2,64472
Everton,12/23/2023,Premier League,Matchweek 18,A,Tottenham,-1,0.3,61808
Tottenham,12/23/2023,Premier League,Matchweek 18,H,Everton,1,-0.3,61808
Arsenal,12/23/2023,Premier League,Matchweek 18,A,Liverpool,0,-0.3,57548
Liverpool,12/23/2023,Premier League,Matchweek 18,H,Arsenal,0,0.3,57548
Bournemouth,12/23/2023,Premier League,Matchweek 18,A,Nott'ham Forest,1,0.6,29188
Nott'ham Forest,12/23/2023,Premier League,Matchweek 18,H,Bournemouth,-1,-0.6,29188
Burnley,12/23/2023,Premier League,Matchweek 18,A,Fulham,2,-0.9,23598
Fulham,12/23/2023,Premier League,Matchweek 18,H,Burnley,-2,0.9,23598
Luton Town,12/23/2023,Premier League,Matchweek 18,H,Newcastle Utd,1,0,11042
Newcastle Utd,12/23/2023,Premier League,Matchweek 18,A,Luton Town,-1,0,11042
Chelsea,12/24/2023,Premier League,Matchweek 18,A,Wolves,-1,0.7,31641
Wolves,12/24/2023,Premier League,Matchweek 18,H,Chelsea,1,-0.7,31641
Aston Villa,12/26/2023,Premier League,Matchweek 19,A,Manchester Utd,-1,0.6,73574
Manchester Utd,12/26/2023,Premier League,Matchweek 19,H,Aston Villa,1,-0.6,73574
Newcastle Utd,12/26/2023,Premier League,Matchweek 19,H,Nott'ham Forest,-2,-1.1,52207
Nott'ham Forest,12/26/2023,Premier League,Matchweek 19,A,Newcastle Utd,2,1.1,52207
Luton Town,12/26/2023,Premier League,Matchweek 19,A,Sheffield Utd,1,-1.8,31041
Sheffield Utd,12/26/2023,Premier League,Matchweek 19,H,Luton Town,-1,1.8,31041
Burnley,12/26/2023,Premier League,Matchweek 19,H,Liverpool,-2,-1,21624
Liverpool,12/26/2023,Premier League,Matchweek 19,A,Burnley,2,1,21624
Bournemouth,12/26/2023,Premier League,Matchweek 19,H,Fulham,3,1.5,11099
Fulham,12/26/2023,Premier League,Matchweek 19,A,Bournemouth,-3,-1.5,11099
Chelsea,12/27/2023,Premier League,Matchweek 19,H,Crystal Palace,1,1.5,39618
Crystal Palace,12/27/2023,Premier League,Matchweek 19,A,Chelsea,-1,-1.5,39618
Everton,12/27/2023,Premier League,Matchweek 19,H,Manchester City,-2,-1.4,39327
Manchester City,12/27/2023,Premier League,Matchweek 19,A,Everton,2,1.4,39327
Brentford,12/27/2023,Premier League,Matchweek 19,H,Wolves,-3,-0.2,17109
Wolves,12/27/2023,Premier League,Matchweek 19,A,Brentford,3,0.2,17109
Arsenal,12/28/2023,Premier League,Matchweek 19,H,West Ham,-2,1.3,60261
West Ham,12/28/2023,Premier League,Matchweek 19,A,Arsenal,2,-1.3,60261
Brighton,12/28/2023,Premier League,Matchweek 19,H,Tottenham,2,0.9,31675
Tottenham,12/28/2023,Premier League,Matchweek 19,A,Brighton,-2,-0.9,31675
Manchester City,12/30/2023,Premier League,Matchweek 20,H,Sheffield Utd,2,1.9,53108
Sheffield Utd,12/30/2023,Premier League,Matchweek 20,A,Manchester City,-2,-1.9,53108
Aston Villa,12/30/2023,Premier League,Matchweek 20,H,Burnley,1,2,41613
Burnley,12/30/2023,Premier League,Matchweek 20,A,Aston Villa,-1,-2,41613
Everton,12/30/2023,Premier League,Matchweek 20,A,Wolves,-3,-1.5,31639
Wolves,12/30/2023,Premier League,Matchweek 20,H,Everton,3,1.5,31639
Manchester Utd,12/30/2023,Premier League,Matchweek 20,A,Nott'ham Forest,-1,0.1,29529
Nott'ham Forest,12/30/2023,Premier League,Matchweek 20,H,Manchester Utd,1,-0.1,29529
Brentford,12/30/2023,Premier League,Matchweek 20,A,Crystal Palace,-2,0.4,25472
Crystal Palace,12/30/2023,Premier League,Matchweek 20,H,Brentford,2,-0.4,25472
Chelsea,12/30/2023,Premier League,Matchweek 20,A,Luton Town,1,-0.8,11041
Luton Town,12/30/2023,Premier League,Matchweek 20,H,Chelsea,-1,0.8,11041
Bournemouth,12/31/2023,Premier League,Matchweek 20,A,Tottenham,-2,-0.6,61780
Tottenham,12/31/2023,Premier League,Matchweek 20,H,Bournemouth,2,0.6,61780
Arsenal,12/31/2023,Premier League,Matchweek 20,A,Fulham,-1,0.4,24444
Fulham,12/31/2023,Premier League,Matchweek 20,H,Arsenal,1,-0.4,24444
Liverpool,1/1/2024,Premier League,Matchweek 20,H,Newcastle Utd,2,6.4,57471
Newcastle Utd,1/1/2024,Premier League,Matchweek 20,A,Liverpool,-2,-6.4,57471
Brighton,1/2/2024,Premier League,Matchweek 20,A,West Ham,0,1.6,62462
West Ham,1/2/2024,Premier League,Matchweek 20,H,Brighton,0,-1.6,62462
Crystal Palace,1/4/2024,FA Cup,Third round proper,H,Everton,0,0,24489
Everton,1/4/2024,FA Cup,Third round proper,A,Crystal Palace,0,0,24489
Burnley,1/5/2024,FA Cup,Third round proper,A,Tottenham,-1,0,60982
Tottenham,1/5/2024,FA Cup,Third round proper,H,Burnley,1,0,60982
Brentford,1/5/2024,FA Cup,Third round proper,H,Wolves,0,0,16818
Wolves,1/5/2024,FA Cup,Third round proper,A,Brentford,0,0,16818
Fulham,1/5/2024,FA Cup,Third round proper,H,Rotherham Utd,1,0,15083
Newcastle Utd,1/6/2024,FA Cup,Third round proper,A,Sunderland,3,0,44814
Chelsea,1/6/2024,FA Cup,Third round proper,H,Preston,4,0,39705
Aston Villa,1/6/2024,FA Cup,Third round proper,A,Middlesbrough,1,0,25022
Brighton,1/6/2024,FA Cup,Third round proper,A,Stoke City,2,0,17032
Bournemouth,1/6/2024,FA Cup,Third round proper,A,QPR,1,0,10725
Sheffield Utd,1/6/2024,FA Cup,Third round proper,A,Gillingham,4,0,8809
West Ham,1/7/2024,FA Cup,Third round proper,H,Bristol City,0,0,62447
Arsenal,1/7/2024,FA Cup,Third round proper,H,Liverpool,-2,0,58538
Liverpool,1/7/2024,FA Cup,Third round proper,A,Arsenal,2,0,58538
Manchester City,1/7/2024,FA Cup,Third round proper,H,Huddersfield,5,0,51939
Nott'ham Forest,1/7/2024,FA Cup,Third round proper,H,Blackpool,0,0,27909
Luton Town,1/7/2024,FA Cup,Third round proper,H,Bolton,0,0,10739
Manchester Utd,1/8/2024,FA Cup,Third round proper,A,Wigan Athletic,2,0,22870
Chelsea,1/9/2024,EFL Cup,Semi-finals,A,Middlesbrough,-1,0,32097
Fulham,1/10/2024,EFL Cup,Semi-finals,A,Liverpool,-1,0,56724
Liverpool,1/10/2024,EFL Cup,Semi-finals,H,Fulham,1,0,56724
Burnley,1/12/2024,Premier League,Matchweek 21,H,Luton Town,0,0.2,20155
Luton Town,1/12/2024,Premier League,Matchweek 21,A,Burnley,0,-0.2,20155
Manchester City,1/13/2024,Premier League,Matchweek 21,A,Newcastle Utd,1,1.7,52190
Newcastle Utd,1/13/2024,Premier League,Matchweek 21,H,Manchester City,-1,-1.7,52190
Chelsea,1/13/2024,Premier League,Matchweek 21,H,Fulham,1,1.4,39643
Fulham,1/13/2024,Premier League,Matchweek 21,A,Chelsea,-1,-1.4,39643
Manchester Utd,1/14/2024,Premier League,Matchweek 21,H,Tottenham,0,-0.4,73489
Tottenham,1/14/2024,Premier League,Matchweek 21,A,Manchester Utd,0,0.4,73489
Aston Villa,1/14/2024,Premier League,Matchweek 21,A,Everton,0,0.1,39284
Everton,1/14/2024,Premier League,Matchweek 21,H,Aston Villa,0,-0.1,39284
West Ham,1/16/2024,FA Cup,Third round proper,A,Bristol City,-1,0,25616
Brentford,1/16/2024,FA Cup,Third round proper,A,Wolves,-1,0,24692
Wolves,1/16/2024,FA Cup,Third round proper,H,Brentford,1,0,24692
Luton Town,1/16/2024,FA Cup,Third round proper,A,Bolton,1,0,10878
Crystal Palace,1/17/2024,FA Cup,Third round proper,A,Everton,-1,0,37796
Everton,1/17/2024,FA Cup,Third round proper,H,Crystal Palace,1,0,37796
Nott'ham Forest,1/17/2024,FA Cup,Third round proper,A,Blackpool,1,0,8098
Arsenal,1/20/2024,Premier League,Matchweek 21,H,Crystal Palace,5,3,60284
Crystal Palace,1/20/2024,Premier League,Matchweek 21,A,Arsenal,-5,-3,60284
Brentford,1/20/2024,Premier League,Matchweek 21,H,Nott'ham Forest,1,0,17077
Nott'ham Forest,1/20/2024,Premier League,Matchweek 21,A,Brentford,-1,0,17077
Sheffield Utd,1/21/2024,Premier League,Matchweek 21,H,West Ham,0,0.2,29164
West Ham,1/21/2024,Premier League,Matchweek 21,A,Sheffield Utd,0,-0.2,29164
Bournemouth,1/21/2024,Premier League,Matchweek 21,H,Liverpool,-4,-0.1,11228
Liverpool,1/21/2024,Premier League,Matchweek 21,A,Bournemouth,4,0.1,11228
Brighton,1/22/2024,Premier League,Matchweek 21,H,Wolves,0,-0.1,41505
Wolves,1/22/2024,Premier League,Matchweek 21,A,Brighton,0,0.1,41505
Chelsea,1/23/2024,EFL Cup,Semi-finals,H,Middlesbrough,5,0,37754
Fulham,1/24/2024,EFL Cup,Semi-finals,H,Liverpool,0,0,24320
Liverpool,1/24/2024,EFL Cup,Semi-finals,A,Fulham,0,0,24320
Bournemouth,1/25/2024,FA Cup,Fourth round proper,H,Swansea City,5,0,10166
Manchester City,1/26/2024,FA Cup,Fourth round proper,A,Tottenham,1,0,60872
Tottenham,1/26/2024,FA Cup,Fourth round proper,H,Manchester City,-1,0,60872
Aston Villa,1/26/2024,FA Cup,Fourth round proper,A,Chelsea,0,0,39325
Chelsea,1/26/2024,FA Cup,Fourth round proper,H,Aston Villa,0,0,39325
Nott'ham Forest,1/26/2024,FA Cup,Fourth round proper,A,Bristol City,0,0,25787
Everton,1/27/2024,FA Cup,Fourth round proper,H,Luton Town,-1,0,37713
Luton Town,1/27/2024,FA Cup,Fourth round proper,A,Everton,1,0,37713
Fulham,1/27/2024,FA Cup,Fourth round proper,H,Newcastle Utd,-2,0,18960
Newcastle Utd,1/27/2024,FA Cup,Fourth round proper,A,Fulham,2,0,18960
Brighton,1/27/2024,FA Cup,Fourth round proper,A,Sheffield Utd,3,0,18391
Sheffield Utd,1/27/2024,FA Cup,Fourth round proper,H,Brighton,-3,0,18391
Liverpool,1/28/2024,FA Cup,Fourth round proper,H,Norwich City,3,0,57334
Wolves,1/28/2024,FA Cup,Fourth round proper,A,West Brom,2,0,25013
Manchester Utd,1/28/2024,FA Cup,Fourth round proper,A,Newport County,2,0,9086
Aston Villa,1/30/2024,Premier League,Matchweek 22,H,Newcastle Utd,-2,-1.2,42191
Newcastle Utd,1/30/2024,Premier League,Matchweek 22,A,Aston Villa,2,1.2,42191
Arsenal,1/30/2024,Premier League,Matchweek 22,A,Nott'ham Forest,1,0.7,29387
Nott'ham Forest,1/30/2024,Premier League,Matchweek 22,H,Arsenal,-1,-0.7,29387
Crystal Palace,1/30/2024,Premier League,Matchweek 22,H,Sheffield Utd,1,0.3,24781
Sheffield Utd,1/30/2024,Premier League,Matchweek 22,A,Crystal Palace,-1,-0.3,24781
Everton,1/30/2024,Premier League,Matchweek 22,A,Fulham,0,0.3,24376
