team,stadium_name,lat,long,capacity
Cacereño,Estadio Principe Felipe,39.48713056,-6.412347222,7000
Cagliari,Unipol Domus,39.19969444,9.137416666,16416
Cambuur,Cambuur Stadion,53.205278,5.814722,10500
Casa Pia,Estadio Pina Manique,38.735,-9.2,350
Celta Vigo,Abanca Bala�dos Stadium,42.211861,-8.740328,29000
Celtic,Celtic Park,53.8525,-9.2975,45000
Cercle Brugge,Jan Breydel Stadium,51.193269,3.181311,30000
Charleroi,Stade de la Neuville,50.408524,4.456877,12164
Charlton Ath,The Valley,51.487489,0.035632,27111
Chaves,Estadio Municipal de Chaves,41.75064,-7.464985,12000
Chelsea,Stamford Bridge,51.48166667,-0.191111111,41875
Clermont Foot,Stade Gabriel Montpied,45.81584,3.12162,9190
Club Brugge,Jan Breydel Stadium,51.193269,3.181311,30000
Cremonese,Stadio Giovanni Zini,45.140278,10.034722,15191
Crystal Palace,Selhurst Park,51.39833333,-0.085555555,26255
Düsseldorf,Merkur Spielarena,51.261539,6.733083,66500
Darmstadt 98,Stadion am B�llenfalltor,49.857778,8.672222,19000
Dinamo Zagreb,Stadion Maksimir,45.81885833,16.01807778,60000
Dortmund,Westfalenstadion,51.4925,7.451667,81359
Dynamo Kyiv,Olimpiyskiy National Sports Complex,50.43333333,30.52166667,70050
Eint Frankfurt,Waldstadion,50.068611,8.645278,51500
Elche,Estadio Manuel Martínez Valero,38.266944,-0.663333,31388
Elversberg,Waldstadion an der Kaiserlinde,49.3186,7.12167,10000
Emmen,De Oude Meerdijk,52.774722,6.945556,8600
Empoli,Stadio Carlo Castellani,43.726389,10.955,19847
Espanyol,Estadi de Sarria,41.39305556,2.133333333,43667
Estoril,Estadio Ant�nio Coimbra da Mota,38.716,-9.406,8000
Estrela,Estadio Jose Gomes,38.752036,-9.227967,9288
Eupen,Kehrweg Stadion,50.626389,6.045833,8000
Everton,Goodison Park,53.43888889,-2.966388888,40157
Excelsior,Van Donge & De Roo Stadion,51.916944,4.520556,3531
Famalicão,Estadio Municipal 22 de Junho,41.40127778,-8.52242222,8000
Farense,Estadio Algarve,37.088333,-7.974722,30002
FC Copenhagen,Parken Stadium,55.702469,12.572203,38065
FC Teutonia Ottensen,Stadion Hoheluft,53.587,9.969,11000
Fenerbahçe,Sukru Saracoglu Stadium,40.9875,29.03666667,50509
Ferencváros,Groupama Arena,47.48,19.09,23700
Feyenoord,De Kuip,51.89389444,4.523252777,51577
Fiorentina,Stadio Artemio Franchi,43.780822,11.282258,43325
Fortuna Sittard,Fortuna Sittard Stadion,50.991944,5.843611,12500
Freiburg,Dreisamstadion,47.988889,7.893056,24000
Frosinone,Benito Stirpe Stadium,41.63426,13.321866,16227
Fulham,Craven Cottage,51.475,-0.221666666,25700
Galatasaray,Rams Park,41.10338889,28.991,52652
Genk,Cegeka Arena,51.005,5.533333,25000
Genoa,Stadio Luigi Ferraris,44.416431,8.952428,36598
Gent,Jules Ottenstadion,51.031389,3.766111,12919
Getafe,Estadio Coliseum,40.325556,-3.714722,8800
Gil Vicente FC,Estadio Cidade de Barcelos,41.53388889,-8.611111111,12504
Girona,Montilivi Stadium,41.961389,2.828611,13500
Gladbach,Borussia-Park,51.17458333,6.385463888,59749
Go Ahead Eag,De Adelaarshorst,52.260278,6.1725,6700
Granada,Estadio Nuevo Los Cármeness,37.152967,-3.595736,19436
Groningen,Euroborg,53.20611111,6.591388888,22579
Häcken,Rambergsvallen,57.71888889,11.93083333,7000
Heerenveen,Abe Lenstra Stadion,52.958611,5.936111,26100
Heidenheim,Voith-Arena,48.6685,10.1393,10001
