home,away,comp,stage,match_date,gd,xgd,attendance %,rest_advantage,home_team_dist_traveled,away_team_dist_traveled,distance_from_opp_home
Arsenal,Sheffield Utd,Premier League,Matchweek 10,10/28/2023,5,2.8,0.990923168160253,-3,1020.0768504329951,137.906646862467,137.906646862467
Chelsea,Brentford,Premier League,Matchweek 10,10/28/2023,-2,-0.3,0.9450746268656717,0,0.0,4.819606826663133,4.819606826663133
Wolves,Newcastle Utd,Premier League,Matchweek 10,10/28/2023,0,-1.3,0.9854602184087363,4,0.0,166.11017180942812,166.11017180942812
Bournemouth,Burnley,Premier League,Matchweek 10,10/28/2023,1,0.3,0.9293333333333333,0,0.0,211.64749842050372,211.64749842050372
Manchester Utd,Manchester City,Premier League,Matchweek 10,10/29/2023,-3,-3.1,0.9705668748597008,1,0.0,621.6783981837889,3.993631130162096
West Ham,Everton,Premier League,Matchweek 10,10/29/2023,-1,-0.1,0.999504,-5,1998.4180846274157,180.64531338018784,180.64531338018784
Liverpool,Nott'ham Forest,Premier League,Matchweek 10,10/29/2023,3,2.8,0.822016393442623,-5,0.0,82.93456734366865,82.93456734366865
Aston Villa,Luton Town,Premier League,Matchweek 10,10/29/2023,2,1.8,0.9799484052532833,-5,278.32570271032813,75.17670354973767,75.17670354973767
Brighton,Fulham,Premier League,Matchweek 10,10/29/2023,0,0.7,0.9707692307692307,-3,0.0,42.78907448561371,42.78907448561371
Manchester City,Bournemouth,Premier League,Matchweek 11,11/4/2023,5,1,0.9698456840612901,3,0.0,190.47474412866654,190.47474412866654
Newcastle Utd,Arsenal,Premier League,Matchweek 11,11/4/2023,1,0.4,0.9978778319472326,0,107.94891721671931,246.5506742531606,244.45638926550575
Everton,Brighton,Premier League,Matchweek 11,11/4/2023,0,0.2,0.9632940707722191,-3,0.0,215.9370971693225,215.9370971693225
Sheffield Utd,Wolves,Premier League,Matchweek 11,11/4/2023,1,-0.2,0.9006788575622287,0,0.0,60.473250269001866,60.473250269001866
Fulham,Manchester Utd,Premier League,Matchweek 11,11/4/2023,-1,0.3,0.95,0,70.85556113709607,162.64344523010803,162.64344523010803
Burnley,Crystal Palace,Premier League,Matchweek 11,11/4/2023,-2,-0.2,0.9570655548656081,-5,38.67614293012165,188.09928496285767,188.09928496285767
Brentford,West Ham,Premier League,Matchweek 11,11/4/2023,1,-0.3,0.9914782608695653,4,0.0,12.792546616739742,12.792546616739742
